id,current_rating,potential_rating,height,weight,preferred_foot,skill_moves,value,wage,ball_control,strength,long_shots_level
255402,58,74,184,68,Right,2,475,2.2,63,47,Good
234111,69,82,185,75,Right,3,3.000.000,15,72,66,Excellent
192989,64,64,173,70,Right,2,475,1.3,61,66,Good
241011,66,66,176,75,Left,3,775,7.7,66,61,Good
220502,75,80,177,63,Right,3,7.500.000,23.5,79,57,Good
258230,60,75,184,81,Left,3,475,1.3,63,70,Good
157190,52,52,172,70,Right,3,25,1.3,53,48,Good
224812,66,67,175,70,Right,3,800,4,71,60,Good
244213,70,70,175,68,Right,4,1.400.000,10.5,70,60,Good
251912,62,74,195,79,Right,2,800,2.4,64,71,Good
203798,68,68,174,71,Right,3,725,5.6,59,81,Good
193361,77,77,182,76,Right,4,9.500.000,31,79,67,Excellent
233284,60,63,190,77,Right,2,250,1.3,61,73,Good
228562,61,66,196,84,Right,1,350,1.3,20,79,Fair
220152,72,72,177,76,Right,3,2.200.000,8.2,74,57,Good
182120,53,53,175,78,Right,2,60,1.8,63,69,Fair
239689,58,67,192,79,Right,1,325,1.3,10,38,Fair
212023,75,75,188,82,Right,3,4.900.000,8.7,72,77,Good
239373,66,73,183,84,Right,3,1.500.000,2.6,70,75,Good
20801,92,92,187,83,Right,5,56.500.000,195,92,78,Excellent
206430,64,66,188,77,Right,3,650,2.2,65,78,Good
231743,68,77,191,75,Left,3,2.400.000,17,70,80,Good
229723,72,78,180,68,Right,3,3.300.000,23.5,70,58,Good
235700,62,64,168,72,Right,3,450,2.3,58,46,Good
248230,66,75,177,70,Left,2,1.600.000,5.3,64,48,Good
240600,60,69,185,74,Right,2,500,4.4,64,77,Good
213798,70,75,177,71,Left,3,2.100.000,7.1,71,66,Excellent
163135,60,60,186,83,Right,1,35,2.2,22,61,Fair
183361,71,71,190,82,Right,2,800,4.9,60,81,Fair
221313,68,69,170,63,Right,3,1.300.000,6.1,65,60,Good
153079,89,89,173,70,Right,4,75.000.000,270,89,74,Excellent
189296,76,76,194,92,Left,1,3.600.000,11.5,17,64,Fair
173836,62,62,175,73,Right,3,300,2.5,63,64,Good
251011,67,73,180,75,Right,3,1.400.000,3,71,66,Good
170719,74,74,161,57,Left,4,3.000.000,14,77,29,Excellent
253186,49,57,195,80,Right,1,80,1.3,14,40,Fair
254643,56,72,170,60,Right,2,325,1.3,45,42,Good
221743,73,74,179,77,Left,4,3.200.000,60,75,56,Good
178283,70,70,196,86,Right,1,725,6.7,16,70,Fair
226086,72,73,169,70,Right,3,2.500.000,12,70,63,Good
259071,62,76,174,70,Right,2,850,1.3,56,53,Good
243885,57,68,172,71,Right,2,325,1.3,55,65,Good
223284,73,73,182,77,Left,2,1.900.000,15.5,66,73,Good
256384,57,70,185,75,Right,2,325,1.3,45,66,Good
251441,66,72,181,72,Right,2,1.100.000,3.5,61,61,Good
223791,70,75,165,60,Left,3,2.100.000,11.5,70,50,Good
224054,62,62,170,66,Right,3,300,2.2,65,47,Good
242282,59,71,181,70,Right,2,475,7.4,55,55,Fair
213327,66,66,196,83,Right,2,625,1.3,41,84,Fair
222883,69,70,175,72,Right,3,1.400.000,9.9,69,65,Good
257983,59,71,171,68,Right,3,500,1.3,59,40,Good
230447,66,66,178,77,Right,2,675,3.6,45,70,Good
237382,62,74,186,74,Right,2,875,5.4,65,51,Good
251154,65,72,187,84,Right,2,1.300.000,2.5,57,83,Good
207734,69,72,168,58,Left,3,1.600.000,5.6,71,65,Good
256691,65,67,177,71,Right,2,725,1.3,63,70,Fair
253169,57,65,181,66,Right,1,300,1.3,12,52,Fair
253493,58,73,181,74,Right,2,400,1.3,58,61,Fair
237678,78,88,194,95,Right,3,26.500.000,29,69,83,Fair
247080,60,73,168,68,Right,2,550,2,63,38,Good
240745,61,61,194,83,Right,2,325,1.9,60,80,Good
213777,71,76,180,73,Right,3,2.500.000,7.8,73,63,Excellent
251504,68,77,187,80,Right,2,2.200.000,4,63,78,Fair
190058,68,68,177,70,Right,3,1.100.000,6.3,70,68,Good
253539,66,66,175,70,Right,2,300,4,62,70,Good
235215,68,77,174,67,Right,3,2.400.000,4.2,72,58,Good
219680,67,71,195,81,Right,2,1.200.000,2.2,59,83,Fair
255814,54,72,167,65,Right,2,220,1.3,59,47,Fair
202166,80,81,187,77,Right,4,22.500.000,70,84,66,Excellent
254706,58,58,178,71,Right,2,180,2.5,61,56,Good
229236,69,76,178,68,Left,2,2.400.000,6.3,67,67,Fair
242328,63,77,182,75,Right,2,1.000.000,1.3,61,70,Good
222180,61,62,183,79,Right,2,325,1.9,53,77,Fair
227678,73,84,183,77,Right,2,6.000.000,29,69,72,Fair
239666,62,76,185,76,Right,2,875,4.5,68,61,Good
236593,78,86,187,68,Left,4,28.500.000,9.9,86,56,Good
257080,60,72,183,82,Right,2,550,2.4,57,77,Good
252778,61,63,179,75,Right,3,350,1.3,64,52,Good
250745,62,69,189,83,Right,2,675,3.1,51,75,Good
252282,63,72,179,67,Left,2,900,1.3,62,58,Fair
203327,66,66,192,88,Right,3,650,11,64,90,Good
255547,49,60,186,77,Left,2,90,1.3,42,61,Fair
232883,69,69,175,64,Right,3,1.300.000,6,70,59,Good
228077,57,58,174,65,Right,2,170,2,61,64,Good
233791,73,83,187,82,Left,1,5.500.000,7.7,16,58,Fair
234054,71,71,185,78,Right,1,1.200.000,7.7,17,56,Fair
188038,72,72,186,83,Right,3,1.400.000,10.5,64,77,Good
246691,65,65,179,70,Right,2,550,2.6,51,68,Fair
182435,70,70,193,78,Right,1,775,2.8,22,33,Fair
243169,59,79,178,68,Right,2,550,1.3,56,49,Good
208992,64,64,180,65,Right,2,475,5.7,61,73,Fair
244706,70,70,184,80,Right,2,1.400.000,5.3,65,79,Good
258725,54,63,180,72,Right,2,210,2.6,51,51,Fair
252328,61,70,190,82,Right,2,625,3,58,50,Good
232929,68,68,175,69,Right,2,775,4,66,65,Good
139799,72,72,183,83,Right,3,725,7.2,70,90,Good
255117,54,71,185,75,Right,2,250,2.4,50,57,Good
198891,59,59,173,77,Right,2,200,1.3,58,58,Good
243539,51,67,184,77,Right,2,130,1.3,52,63,Fair
253610,65,65,184,79,Right,2,425,3.6,56,71,Good
205070,83,83,167,66,Right,3,33.000.000,45,81,73,Excellent
252902,58,69,184,72,Left,2,375,2.4,47,59,Fair
247203,73,74,181,76,Left,2,2.900.000,11.5,68,68,Good
211463,63,63,180,76,Right,3,475,3.4,62,63,Good
226710,65,78,195,85,Right,3,1.600.000,5.7,69,75,Good
214661,66,69,172,77,Right,3,1.000.000,4.5,70,70,Good
237101,61,70,185,70,Right,2,625,1.3,60,72,Good
233841,70,80,182,80,Right,2,3.000.000,5.4,61,74,Fair
254585,64,78,165,65,Right,3,1.300.000,3.1,63,40,Good
253240,71,80,165,63,Right,4,3.700.000,8.2,75,57,Good
211033,69,73,183,90,Right,1,1.300.000,6.7,23,71,Fair
240196,66,72,184,74,Right,2,1.100.000,2.5,40,77,Good
225995,72,76,178,72,Right,3,2.800.000,8.7,71,65,Good
251787,63,63,179,73,Left,2,375,1.7,56,61,Fair
230294,81,81,188,83,Right,4,24.000.000,49,74,82,Excellent
250895,54,67,179,75,Right,2,220,1.3,61,47,Fair
252001,66,80,185,72,Left,2,1.700.000,1.9,68,75,Fair
219950,66,70,187,84,Right,2,1.000.000,1.3,56,82,Good
233512,68,69,181,78,Left,2,1.000.000,5.2,62,71,Good
215070,71,73,183,76,Right,2,1.800.000,7.5,47,74,Good
243610,63,71,186,82,Right,1,825,1.3,12,70,Fair
236710,62,73,170,60,Left,3,775,1.7,65,53,Good
237802,62,65,190,83,Right,1,350,1.5,11,62,Fair
110677,78,78,188,83,Right,1,325,13,24,57,Fair
255394,55,73,181,65,Right,2,300,1.3,60,43,Good
171364,65,65,170,75,Left,3,325,1.9,63,59,Good
257653,62,62,170,67,Left,2,300,1.9,57,65,Fair
231485,73,81,185,75,Right,3,6.000.000,49,72,75,Fair
256941,64,66,185,83,Left,2,550,1.3,47,85,Fair
182209,67,67,193,80,Left,2,750,3.9,55,85,Fair
215135,76,76,181,74,Right,2,3.200.000,15.5,63,79,Fair
244090,58,70,186,82,Right,1,400,1.3,19,62,Fair
234668,67,75,183,78,Right,2,2.000.000,4.9,58,72,Good
257346,66,72,177,66,Left,2,1.100.000,5.4,61,54,Fair
201526,69,69,169,67,Left,3,1.300.000,7.3,72,55,Good
255681,58,72,179,78,Right,1,375,1.3,15,52,Fair
252144,72,85,184,76,Right,2,4.500.000,2.2,65,75,Fair
233457,66,67,173,62,Right,2,900,1.6,63,70,Good
221893,68,71,179,72,Right,2,1.300.000,4.8,60,75,Fair
246557,63,66,174,68,Right,2,525,1.7,57,66,Fair
225079,61,61,167,62,Left,3,300,3.4,64,40,Good
258549,61,71,188,82,Right,2,625,1.3,63,74,Fair
199015,57,57,191,81,Right,2,130,1.3,56,68,Good
215565,71,77,193,84,Right,2,2.400.000,31,66,83,Fair
243305,60,70,178,64,Left,2,475,1.3,61,59,Good
241338,53,56,178,74,Left,2,100,1.5,38,55,Fair
257716,51,63,177,70,Right,2,130,1.4,53,47,Fair
252514,56,62,183,81,Right,2,200,1.3,59,72,Good
258119,54,66,180,73,Right,2,220,1.9,51,75,Good
211875,61,63,193,85,Right,2,300,1.3,57,83,Good
246107,65,84,168,66,Right,4,1.600.000,1.6,69,43,Good
244993,67,72,177,72,Right,2,1.300.000,3.7,70,70,Good
251292,70,76,192,85,Right,1,1.800.000,8.1,18,68,Fair
195036,66,66,175,71,Right,2,775,3.5,63,64,Good
254090,63,74,180,68,Right,2,900,1.6,63,64,Good
252847,64,72,194,85,Left,1,1.000.000,1.3,13,49,Fair
199916,64,65,191,88,Right,2,500,3.4,54,82,Good
247346,55,68,193,88,Right,1,250,1.3,15,49,Fair
259358,51,68,174,71,Right,2,130,1.3,43,58,Fair
224668,61,61,172,65,Left,3,180,2.1,61,63,Good
198604,63,63,177,73,Left,3,350,1.3,62,70,Good
242514,69,71,192,80,Left,1,1.100.000,3.3,18,60,Fair
256107,58,69,180,77,Right,2,375,1.3,56,60,Fair
203848,66,66,183,72,Right,2,650,3.3,62,77,Fair
248119,63,74,179,72,Right,3,1.000.000,1.5,60,69,Good
201875,67,67,188,86,Right,1,500,2,19,52,Fair
219546,69,72,183,80,Right,2,1.400.000,3.4,57,75,Fair
253305,68,69,189,88,Right,2,1.100.000,5.6,50,70,Good
205565,69,69,192,78,Left,2,1.000.000,3.8,55,90,Fair
207558,64,64,186,74,Right,3,525,1.3,62,64,Good
190664,71,71,186,83,Left,3,1.400.000,16,69,80,Good
224238,62,67,191,84,Left,2,500,1.8,48,74,Fair
246804,57,65,178,72,Right,2,325,1.3,58,59,Good
247716,57,62,193,92,Left,2,220,1.3,55,92,Good
211176,70,72,187,77,Left,5,1.800.000,5.4,77,58,Good
247038,49,69,184,75,Right,2,120,1.3,51,56,Fair
213665,63,69,183,79,Right,2,625,1.7,64,66,Good
212977,76,81,190,88,Right,2,9.000.000,31,69,79,Good
259026,54,65,175,67,Right,2,210,1.3,52,48,Fair
251416,55,64,180,76,Left,2,250,1.3,48,66,Fair
189691,68,68,183,75,Right,3,1.100.000,2.2,69,72,Good
219792,79,82,183,73,Right,3,19.000.000,24,81,67,Good
255906,60,76,189,78,Right,2,550,1.3,54,73,Fair
229324,62,66,178,78,Right,2,475,1.8,60,60,Fair
218880,68,74,186,78,Right,2,1.600.000,6.2,62,77,Fair
221714,75,82,177,79,Right,3,10.500.000,40,71,88,Good
216467,65,69,165,60,Left,3,900,2.9,68,33,Good
240207,65,69,184,74,Left,2,825,2.7,64,60,Good
224146,69,69,179,70,Right,3,1.300.000,4.9,71,70,Good
242390,60,70,190,80,Right,3,500,1.3,64,78,Good
247468,66,73,185,74,Right,2,1.400.000,1.3,62,80,Good
222991,67,67,169,66,Right,3,875,4,66,61,Good
232568,64,64,179,76,Right,2,170,2.2,54,74,Fair
254244,58,78,183,77,Right,3,525,1.3,58,52,Good
177571,69,69,186,81,Right,2,600,5.9,60,72,Good
253581,68,68,169,67,Right,4,1.100.000,6.4,69,68,Excellent
256279,61,61,189,86,Right,2,250,1.3,45,72,Fair
188829,80,80,184,77,Right,2,15.500.000,43,72,76,Good
183336,68,68,186,84,Left,3,1.100.000,3.3,68,72,Excellent
240657,55,69,191,75,Right,1,250,1.9,19,48,Fair
206467,80,81,181,79,Right,4,22.000.000,44,80,75,Excellent
202977,62,64,187,72,Right,2,375,1.3,60,75,Good
255005,64,69,173,70,Left,2,800,2.3,65,66,Good
220105,61,66,177,74,Right,3,425,1.5,66,57,Good
209268,62,62,170,66,Left,3,300,1.9,63,63,Good
225757,66,69,185,70,Left,3,1.000.000,1.3,67,67,Good
212424,71,72,173,68,Right,3,1.700.000,4.7,72,58,Good
243581,65,67,189,78,Right,2,800,3.2,62,77,Excellent
246279,69,76,182,68,Left,3,2.400.000,3.4,65,71,Good
251945,56,74,165,60,Right,2,325,1.3,56,34,Good
233379,67,73,173,72,Right,4,1.400.000,1.3,68,58,Good
231344,68,75,177,68,Right,3,2.200.000,7.8,68,49,Good
257192,53,65,180,70,Right,2,200,1.3,51,68,Fair
193336,72,73,192,84,Right,1,,,21,59,Fair
252390,56,70,183,65,Right,2,300,1.3,54,58,Fair
201208,70,73,188,88,Right,2,1.600.000,2.8,55,91,Good
232991,69,69,175,70,Right,3,1.100.000,3.1,70,66,Good
255455,59,71,173,68,Right,2,500,1.3,62,40,Good
241046,57,74,159,59,Right,2,375,1.3,55,30,Good
227290,81,82,194,94,Left,1,18.500.000,26.5,9,79,Fair
253997,53,67,182,70,Right,2,190,1.3,33,66,Fair
233396,63,72,188,76,Right,3,1.000.000,3.1,68,74,Good
255140,64,79,170,65,Right,4,1.300.000,3.6,62,52,Good
227785,73,74,177,78,Left,3,3.100.000,24,73,71,Good
258288,52,60,184,74,Right,1,140,1.3,13,51,Fair
244751,65,70,193,80,Right,2,850,3.1,59,72,Fair
222587,68,73,175,72,Right,2,1.400.000,2.8,65,66,Fair
